product,title,category,subcategory,dress_length,color,pattern,tags,views,video_url,image1,image2,image3
001,Blue toile print pajama short set,Co-ord Sets,Pajama short set,,blue,print,blue; loungewear; pajama; satin; summer; casual,1100000,https://www.tiktok.com/@liletti_md/video/7388180206101761286,product-001-1.jpg,product-001-2.jpg,product-001-3.jpg
002,Brown wide-leg satin trousers,Pants,Wide-leg trousers,,brown,solid,brown; satin; wide-leg; office; elegant; summer,82400,https://www.tiktok.com/@liletti_md/video/7490821901195955511,product-002-1.jpg,product-002-2.jpg,product-002-3.jpg
003,Black lace-bodice maxi dress,Dresses,Maxi dress,Maxi,black,lace,black; lace; maxi; evening; elegant; occasion,80600,https://www.tiktok.com/@liletti_md/video/7645355836801387796,product-003-1.jpg,product-003-2.jpg,product-003-3.jpg
004,White textured stripe midi dress,Dresses,Midi dress,Midi,white,striped,white; midi; textured; elegant; summer; feminine,13400,https://www.tiktok.com/@liletti_md/video/7648671312658894100,product-004-1.jpg,product-004-2.jpg,product-004-3.jpg
005,Black lace-hem midi dress,Dresses,Midi dress,Midi,black,lace,black; lace; midi; elegant; occasion; feminine,12900,https://www.tiktok.com/@liletti_md/video/7649830353904995605,product-005-1.jpg,product-005-2.jpg,product-005-3.jpg
006,Black short-sleeve t-shirt maxi dress,Dresses,T-shirt maxi dress,Maxi,black,solid,black; maxi; casual; everyday; minimal; summer,10700,https://www.tiktok.com/@liletti_md/video/7647235236442426645,product-006-1.jpg,product-006-2.jpg,product-006-3.jpg
007,Black lace-hem short-sleeve midi dress,Dresses,Midi dress,Midi,black,lace,black; lace; midi; elegant; occasion; feminine,8922,https://www.tiktok.com/@liletti_md/video/7646863777991838997,product-007-1.jpg,product-007-2.jpg,product-007-3.jpg
008,Navy tiered ruffle maxi dress,Dresses,Tiered maxi dress,Maxi,navy,lace,navy; tiered; ruffle; maxi; romantic; occasion,8878,https://www.tiktok.com/@liletti_md/video/7645023577175035157,product-008-1.jpg,product-008-2.jpg,product-008-3.jpg
009,Brown paisley print tiered maxi dress,Dresses,Tiered maxi dress,Maxi,brown,print,brown; paisley; maxi; boho; summer; casual,8741,https://www.tiktok.com/@liletti_md/video/7644539985906912533,product-009-1.jpg,product-009-2.jpg,product-009-3.jpg
010,Light blue lace midi dress,Dresses,Lace midi dress,Midi,blue,lace,blue; lace; midi; elegant; romantic; occasion,8106,https://www.tiktok.com/@liletti_md/video/7646850858482748692,product-010-1.jpg,product-010-2.jpg,product-010-3.jpg
011,Brown wide-leg pleated trousers,Pants,Wide-leg trousers,,brown,solid,brown; wide-leg; trousers; elegant; office; summer,8015,https://www.tiktok.com/@liletti_md/video/7647259104439962901,product-011-1.jpg,product-011-2.jpg,product-011-3.jpg
012,White short-sleeve shirt and skirt set,Co-ord Sets,Shirt and skirt set,,white,solid,white; co-ord; summer; casual; linen; feminine,7466,https://www.tiktok.com/@liletti_md/video/7647958858073148693,product-012-1.jpg,product-012-2.jpg,product-012-3.jpg
